SNo,Year,State_UT,City,Road_Classification,Mode_of_Transport,Total_Accidents,Persons_Injured,Persons_Killed,Accident_Cause,Time_of_Accident,Road_Condition,Light_Condition,Weather_Condition,Injury_Severity,Junction_Type,Source
1,2019,Chandigarh,Chandigarh,City Roads,Others,1371,1580,473,Bad Road Condition,09:00-12:00,Under Repair,Dark - Street Light On,Cloudy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
2,2021,Telangana,Karimnagar,Other Roads,Others,8109,13206,1433,Poor Weather Visibility,18:00-21:00,Wet,Dark - No Street Light,Foggy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
3,2022,Nagaland,Nagaland,City Roads,Car/Jeep/Taxi,7495,15437,1373,Vehicle Defect,21:00-24:00,Flooded,Dark - No Street Light,Rainy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
4,2019,Uttar Pradesh,Varanasi,City Roads,Others,146,240,37,Tyre Burst,18:00-21:00,Wet,Dark - Street Light On,Misty,Grievous Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
5,2020,Lakshadweep,Lakshadweep,National Highway,Others,4996,7006,317,Wrong Side Driving,15:00-18:00,Under Repair,Dark - No Street Light,Rainy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
6,2022,Andaman & Nicobar Islands,Andaman & Nicobar Islands,National Highway,Truck/Lorry,4161,5902,858,Drunk Driving,12:00-15:00,Flooded,Dusk/Dawn,Misty,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
7,2021,Himachal Pradesh,Himachal Pradesh,City Roads,Two-Wheeler,8419,8508,1489,Fatigue/Sleep,09:00-12:00,Under Repair,Dark - Street Light On,Misty,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
8,2020,Goa,Goa,National Highway,Two-Wheeler,5459,6789,688,Tyre Burst,15:00-18:00,Dry,Dusk/Dawn,Cloudy,No Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
9,2023,Meghalaya,Meghalaya,National Highway,Bus,912,1029,167,Over Speeding,15:00-18:00,Flooded,Daylight,Foggy,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
10,2023,Gujarat,Rajkot,State Highway,Pedestrian,4284,8482,1410,Drunk Driving,12:00-15:00,Flooded,Daylight,Cloudy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
11,2022,Uttarakhand,Uttarakhand,City Roads,Two-Wheeler,10417,14452,1330,Fatigue/Sleep,00:00-06:00,Wet,Daylight,Rainy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
12,2023,Manipur,Manipur,City Roads,Bus,4276,6089,745,Wrong Side Driving,18:00-21:00,Flooded,Dark - No Street Light,Clear,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
13,2023,Uttar Pradesh,Varanasi,State Highway,Pedestrian,8098,16459,2360,Use of Mobile Phone,12:00-15:00,Flooded,Dusk/Dawn,Clear,No Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
14,2020,Lakshadweep,Lakshadweep,National Highway,Two-Wheeler,11605,19851,1806,Vehicle Defect,21:00-24:00,Under Repair,Dark - No Street Light,Misty,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
15,2021,Madhya Pradesh,Bhopal,State Highway,Truck/Lorry,5487,11679,1231,Improper Lane Changing,18:00-21:00,Dry,Daylight,Rainy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
16,2021,Meghalaya,Meghalaya,City Roads,Car/Jeep/Taxi,4361,5998,845,Fatigue/Sleep,18:00-21:00,Under Repair,Dusk/Dawn,Cloudy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
17,2022,Mizoram,Mizoram,Expressway,Pedestrian,2008,4164,559,Vehicle Defect,06:00-09:00,Dry,Daylight,Rainy,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
18,2019,Bihar,Muzaffarpur,Other Roads,Bicycle,10989,21920,3671,Wrong Side Driving,15:00-18:00,Dry,Dark - No Street Light,Misty,Minor Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
19,2022,Telangana,Karimnagar,Expressway,Truck/Lorry,5171,11305,774,Tyre Burst,18:00-21:00,Flooded,Dusk/Dawn,Foggy,Grievous Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
20,2021,Telangana,Karimnagar,City Roads,Car/Jeep/Taxi,4216,3380,1364,Drunk Driving,18:00-21:00,Wet,Daylight,Cloudy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
21,2023,Bihar,Gaya,State Highway,Auto-Rickshaw,1581,3789,347,Fatigue/Sleep,15:00-18:00,Wet,Dusk/Dawn,Rainy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
22,2020,Telangana,Hyderabad,Expressway,Bus,11337,14182,3044,Drunk Driving,21:00-24:00,Flooded,Dark - No Street Light,Misty,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
23,2022,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Other Roads,Two-Wheeler,9409,22016,2553,Over Speeding,06:00-09:00,Under Repair,Dusk/Dawn,Rainy,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
24,2019,Andaman & Nicobar Islands,Andaman & Nicobar Islands,City Roads,Others,1607,3629,214,Use of Mobile Phone,18:00-21:00,Potholed,Daylight,Foggy,Minor Injury,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
25,2019,Meghalaya,Meghalaya,National Highway,Two-Wheeler,2195,2129,667,Fatigue/Sleep,12:00-15:00,Wet,Daylight,Cloudy,Fatal,T-Junction,data.gov.in - Ministry of Road Transport & Highways
26,2021,Chhattisgarh,Durg,Other Roads,Truck/Lorry,2279,3429,336,Improper Lane Changing,18:00-21:00,Flooded,Dark - No Street Light,Clear,Fatal,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
27,2023,Odisha,Bhubaneswar,City Roads,Truck/Lorry,10783,14421,1743,Improper Lane Changing,15:00-18:00,Wet,Dark - No Street Light,Rainy,Fatal,Roundabout,data.gov.in - Ministry of Road Transport & Highways
28,2021,Maharashtra,Mumbai,National Highway,Two-Wheeler,4453,5394,1236,Improper Lane Changing,06:00-09:00,Wet,Dark - Street Light On,Cloudy,No Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
29,2019,Tamil Nadu,Salem,State Highway,Pedestrian,171,165,58,Use of Mobile Phone,12:00-15:00,Dry,Daylight,Rainy,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
30,2022,Manipur,Manipur,National Highway,Bus,4632,4954,1525,Tyre Burst,06:00-09:00,Under Repair,Dark - No Street Light,Cloudy,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
31,2020,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Expressway,Others,3175,4133,1101,Improper Lane Changing,18:00-21:00,Flooded,Daylight,Rainy,Grievous Injury,T-Junction,data.gov.in - Ministry of Road Transport & Highways
32,2022,Andaman & Nicobar Islands,Andaman & Nicobar Islands,State Highway,Car/Jeep/Taxi,3420,8517,219,Jumping Red Light,06:00-09:00,Under Repair,Dusk/Dawn,Rainy,Grievous Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
33,2021,Tripura,Tripura,Expressway,Pedestrian,3651,6071,746,Tyre Burst,09:00-12:00,Flooded,Daylight,Misty,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
34,2019,Chandigarh,Chandigarh,National Highway,Bus,11962,11326,1737,Wrong Side Driving,00:00-06:00,Wet,Daylight,Rainy,Minor Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
35,2023,Chandigarh,Chandigarh,State Highway,Two-Wheeler,6605,12149,1274,Jumping Red Light,06:00-09:00,Wet,Dusk/Dawn,Misty,Minor Injury,Four-Arm Junction,data.gov.in - Ministry of Road Transport & Highways
36,2019,Odisha,Cuttack,Other Roads,Car/Jeep/Taxi,10611,15050,3138,Drunk Driving,21:00-24:00,Wet,Dark - No Street Light,Cloudy,Fatal,Y-Junction,data.gov.in - Ministry of Road Transport & Highways
37,2022,Telangana,Karimnagar,State Highway,Pedestrian,6687,14188,1506,Wrong Side Driving,18:00-21:00,Dry,Daylight,Rainy,Fatal,No Junction,data.gov.in - Ministry of Road Transport & Highways
38,2020,Haryana,Faridabad,Expressway,Pedestrian,5975,5091,1737,Poor Weather Visibility,06:00-09:00,Under Repair,Dark - No Street Light,Clear,No Injury,Roundabout,data.gov.in - Ministry of Road Transport & Highways
39,2023,Assam,Silchar,State Highway,Two-Wheeler,10940,26241,1144,Drunk Driving,09:00-12:00,Potholed,Dark - No Street Light,Foggy,No Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
40,2020,Andaman & Nicobar Islands,Andaman & Nicobar Islands,City Roads,Auto-Rickshaw,1269,2029,391,Bad Road Condition,09:00-12:00,Potholed,Daylight,Clear,Minor Injury,No Junction,data.gov.in - Ministry of Road Transport & Highways
